,Company,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price_euros
175,4,15.6,4.0,90.0,8,10.0,40.0,2,459.0
176,2,15.6,4.0,6.0,4,4.0,35.0,2,449.0
177,7,18.4,2.0,15.0,32,,70.0,2,2799.0
178,5,15.6,2.0,94.0,8,,3.0,2,813.0
179,1,13.3,13.0,26.0,8,15.0,46.0,2,1499.0
180,4,15.6,2.0,17.0,16,,5.0,4,1049.0
181,4,13.3,2.0,26.0,8,15.0,46.0,2,1399.0
182,5,13.9,13.0,17.0,16,27.0,46.0,2,1849.0
183,9,15.6,4.0,94.0,8,4.0,40.0,2,793.0
184,11,15.6,5.0,26.0,8,15.0,69.0,1,1199.0
185,4,17.3,7.0,17.0,16,27.0,47.0,2,1549.0
186,4,15.6,14.0,43.0,16,27.0,54.0,2,2397.0
187,5,15.6,5.0,8.0,8,15.0,54.0,1,779.0
188,2,13.3,5.0,21.0,8,15.0,39.0,2,989.0
189,4,17.3,2.0,17.0,8,,5.0,2,1085.0
190,5,14.0,12.0,65.0,16,11.0,40.0,2,2824.0
191,12,14.0,5.0,66.0,4,21.0,31.0,2,260.0
192,11,13.3,5.0,94.0,8,15.0,69.0,1,999.9
193,5,17.3,19.0,26.0,8,15.0,69.0,1,698.0
194,4,13.3,6.0,17.0,8,10.0,46.0,2,839.0
195,1,17.3,5.0,26.0,8,10.0,51.0,2,914.0
196,13,17.3,14.0,73.0,32,11.0,60.0,2,6099.0
197,1,13.3,2.0,26.0,8,27.0,46.0,2,959.0
198,1,17.3,5.0,43.0,16,,54.0,2,1379.0
199,1,17.3,2.0,17.0,8,15.0,,2,1045.0
200,4,15.6,15.0,43.0,16,,57.0,2,1845.0
201,5,15.6,4.0,0.0,4,4.0,35.0,2,493.0
202,2,15.6,2.0,65.0,8,10.0,52.0,2,742.0
203,5,15.6,5.0,43.0,16,,57.0,2,1749.0
204,4,15.6,,69.0,16,,73.0,2,3055.0
205,5,15.6,2.0,43.0,16,27.0,57.0,1,1398.0
206,4,15.6,21.0,90.0,6,10.0,40.0,2,439.0
207,4,13.3,13.0,17.0,8,15.0,46.0,2,1949.0
208,4,13.3,2.0,17.0,8,15.0,46.0,2,1449.0
209,5,15.6,4.0,94.0,8,15.0,40.0,2,597.0
210,2,15.6,2.0,43.0,8,10.0,54.0,4,779.0
211,3,17.3,2.0,43.0,16,,54.0,2,1407.0
212,1,15.6,2.0,6.0,4,24.0,35.0,1,349.0
213,5,15.6,2.0,94.0,8,15.0,40.0,1,549.0
214,10,13.0,16.0,65.0,8,27.0,40.0,2,1499.0
215,4,13.3,5.0,17.0,8,15.0,5.0,2,931.88
216,5,17.3,19.0,94.0,8,10.0,61.0,1,589.0
217,1,14.0,2.0,17.0,8,15.0,51.0,2,1031.0
218,4,14.0,2.0,26.0,8,15.0,46.0,2,1149.0
219,4,13.3,7.0,17.0,16,27.0,46.0,2,1279.0
220,4,15.6,2.0,26.0,8,15.0,4.0,4,677.35
221,5,14.0,5.0,26.0,8,15.0,46.0,2,899.0
222,9,13.3,2.0,79.0,8,15.0,35.0,2,1363.0
223,1,15.6,2.0,26.0,8,10.0,46.0,2,794.0
224,4,17.3,5.0,43.0,16,,57.0,2,2456.34
225,2,15.6,2.0,65.0,8,15.0,52.0,2,832.0
226,4,15.6,7.0,65.0,16,10.0,22.0,2,859.01
227,3,15.6,2.0,94.0,8,15.0,,2,769.0
228,3,17.3,2.0,94.0,8,,62.0,2,891.0
229,1,15.6,2.0,65.0,8,10.0,,2,1269.0
230,3,15.6,4.0,90.0,4,10.0,40.0,2,398.99
231,1,15.6,4.0,30.0,4,24.0,9.0,2,330.0
232,5,15.6,5.0,43.0,16,,57.0,2,1499.0
233,4,14.0,2.0,94.0,8,15.0,40.0,2,859.0
234,2,13.3,6.0,0.0,8,15.0,35.0,2,689.0
235,4,15.6,2.0,65.0,16,15.0,22.0,4,899.0
236,2,15.6,4.0,6.0,4,10.0,35.0,4,390.0
237,3,15.6,2.0,33.0,4,,18.0,2,575.0
238,3,17.3,2.0,73.0,32,,60.0,2,3890.0
239,2,15.6,5.0,8.0,8,15.0,54.0,2,846.0
240,5,15.6,4.0,6.0,8,4.0,35.0,2,589.0
241,3,17.3,2.0,17.0,8,,47.0,2,1145.0
242,3,17.3,2.0,65.0,8,,62.0,1,889.0
243,4,15.6,2.0,8.0,8,15.0,54.0,2,879.0
244,5,13.9,6.0,65.0,8,15.0,40.0,2,1079.0
245,4,15.6,2.0,17.0,8,,5.0,2,985.0
246,1,15.6,21.0,94.0,8,10.0,40.0,2,559.0
247,3,17.3,2.0,73.0,16,15.0,60.0,2,2999.0
248,1,13.3,5.0,26.0,4,24.0,46.0,2,675.0
249,0,13.3,0.0,34.0,8,27.0,44.0,0,2040.0
250,4,15.6,6.0,17.0,8,10.0,46.0,2,819.0
251,3,17.3,2.0,43.0,16,,67.0,2,1799.0
252,3,15.6,4.0,7.0,4,10.0,16.0,2,469.0
253,5,13.9,6.0,17.0,8,27.0,46.0,2,1849.0
254,2,17.3,5.0,22.0,4,15.0,68.0,2,702.0
255,4,13.3,2.0,26.0,8,15.0,46.0,2,949.0
256,1,15.6,4.0,46.0,8,4.0,12.0,2,445.9
257,1,17.3,5.0,17.0,16,10.0,69.0,2,1059.0
258,7,17.3,2.0,43.0,16,,58.0,2,2499.0
259,5,15.6,6.0,43.0,8,27.0,56.0,2,1699.0
260,4,17.3,2.0,17.0,8,,5.0,2,1142.0
261,5,15.6,2.0,6.0,4,15.0,35.0,1,444.0
262,1,15.6,5.0,26.0,4,24.0,40.0,2,722.0
263,4,15.6,2.0,94.0,4,10.0,40.0,2,657.0
264,4,15.6,2.0,94.0,8,10.0,18.0,2,565.0
265,4,15.6,7.0,26.0,8,15.0,46.0,2,799.0
266,3,13.3,7.0,17.0,8,,46.0,2,1499.0
267,5,15.6,2.0,94.0,4,10.0,40.0,1,467.0
268,1,17.3,2.0,17.0,8,10.0,,2,1018.0
269,5,15.6,2.0,17.0,8,15.0,46.0,2,880.0
270,0,13.3,0.0,,8,27.0,42.0,0,1958.9
271,3,17.3,2.0,56.0,16,,26.0,2,1549.0
272,4,15.6,2.0,17.0,8,15.0,4.0,4,735.07
273,5,14.0,12.0,81.0,16,27.0,35.0,2,2499.0
274,9,15.6,4.0,79.0,8,24.0,50.0,2,812.0
